"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9"
"otu1",586,407,452,290,228,423,646,328,1495,863,885,318,3498,993,330,1016,655,277,518
"otu2",353,353,368,310,179,276,497,230,1216,734,783,229,1588,602,270,675,515,354,428
"otu3",451,232,346,158,204,303,523,256,913,582,723,399,1190,465,284,588,438,353,484
"otu4",433,69,513,164,234,358,593,392,1088,853,900,476,472,205,159,405,316,146,207
"otu5",173,141,188,181,131,104,309,179,453,445,419,198,340,401,151,476,470,582,602
"otu6",471,41,331,184,250,354,476,275,1182,880,640,216,115,25,23,17,11,0,0
"otu7",285,96,248,168,152,240,396,214,863,585,559,238,325,167,123,282,197,132,211
"otu8",184,191,324,89,86,42,125,72,75,527,516,122,1212,383,207,262,216,301,442
"otu9",44,69,168,88,108,159,204,116,770,409,426,247,435,307,179,205,176,113,147
"otu10",159,106,130,74,67,155,229,89,269,200,289,149,618,299,214,242,276,197,225
"otu11",17,102,168,42,79,269,325,178,448,413,479,61,55,176,61,45,16,19,28
"otu12",217,40,146,103,112,145,258,147,562,434,302,98,41,0,0,0,0,0,0
"otu13",52,129,13,103,43,16,27,4,147,18,89,64,338,94,48,424,119,145,183
"otu14",106,28,68,65,61,81,126,58,291,201,164,75,107,62,38,106,74,67,72
"otu15",93,325,33,12,0,11,15,25,75,56,42,19,368,46,87,57,41,45,99
"otu16",81,0,104,53,40,119,126,35,308,270,177,30,18,24,36,0,0,7,0
"otu17",69,31,43,30,20,46,105,35,147,118,120,48,196,105,37,40,22,22,38
"otu18",67,109,6,7,0,6,5,4,41,55,4,5,402,345,17,74,39,20,42
"otu19",66,0,0,34,0,0,121,77,348,273,238,0,44,0,20,12,10,0,0
"otu20",100,0,148,116,0,0,195,0,256,261,81,0,0,0,57,0,0,0,0
"otu21",42,53,45,0,12,45,39,17,153,112,149,19,30,123,10,29,39,117,26
"otu22",44,14,87,35,68,18,13,78,79,98,263,146,17,0,0,0,0,0,0
"otu23",281,57,51,10,0,16,11,18,50,26,47,0,147,32,38,47,13,48,32
"otu24",54,136,15,6,0,0,8,49,0,52,0,23,301,0,55,37,30,30,49
"otu25",70,71,0,0,0,0,10,24,11,12,8,8,340,44,59,67,13,58,46
"otu26",26,8,57,14,0,13,20,16,110,189,103,54,34,23,25,27,49,22,39
"otu27",74,103,0,0,0,0,6,36,34,8,7,6,200,15,52,109,48,40,52
"otu28",31,46,11,0,15,22,19,37,33,17,49,32,150,20,50,48,13,44,64
"otu29",63,25,12,21,22,0,0,0,51,58,46,36,59,22,78,42,35,61,52
"otu30",43,121,36,0,4,10,11,35,17,22,36,16,109,8,45,20,8,49,93
"otu31",57,142,0,0,0,0,0,0,0,0,45,0,284,20,35,41,0,0,56
"otu32",28,30,60,10,25,11,18,23,47,45,146,86,41,10,0,22,0,8,16
"otu33",75,72,23,9,15,16,13,23,12,9,45,32,83,8,43,48,8,31,40
"otu34",34,103,0,0,0,0,0,0,0,0,0,0,185,9,17,23,19,75,95
"otu35",57,53,20,0,0,14,17,26,25,17,52,25,76,21,21,45,0,42,33
"otu36",45,54,0,4,0,0,0,0,26,0,12,0,113,12,48,52,20,58,96
"otu37",6,14,32,0,15,17,16,13,46,21,59,56,96,17,33,31,10,24,33
"otu38",27,38,27,12,14,0,0,32,43,50,88,29,41,9,13,28,12,0,16
"otu39",18,21,13,7,11,0,6,23,39,21,45,41,84,7,18,21,10,22,31
"otu40",0,0,66,14,43,44,46,96,38,14,0,0,0,0,0,15,0,24,36
"otu41",32,71,0,0,0,0,0,0,0,0,0,0,82,18,34,52,26,38,63
"otu42",27,32,41,0,37,0,14,31,20,49,30,20,21,0,23,0,9,26,33
"otu43",50,64,18,0,8,0,0,21,12,15,45,25,91,28,7,0,0,9,0
"otu44",10,19,0,0,0,0,0,0,13,9,21,0,81,20,34,37,33,40,61
"otu45",6,11,10,13,7,14,21,8,37,13,12,10,55,44,6,24,27,22,27
"otu46",0,74,8,0,0,0,0,11,11,15,35,16,55,10,52,26,8,16,30
"otu47",42,55,0,0,0,0,0,0,0,0,0,0,141,12,11,26,11,42,24
"otu48",35,45,0,0,0,0,0,0,11,0,7,0,155,9,9,45,12,13,23
"otu49",8,24,19,0,14,0,0,14,43,34,64,20,74,0,6,7,7,11,17
"otu50",56,46,0,0,0,0,0,0,0,0,11,0,107,0,54,11,0,36,39
"otu51",50,24,11,8,12,14,11,24,31,21,37,16,38,0,20,20,0,6,15
"otu52",18,36,30,0,0,4,0,16,32,22,27,15,48,0,24,23,0,24,23
"otu53",0,0,18,11,0,22,13,37,90,62,43,41,0,0,0,0,0,0,0
"otu54",13,21,0,0,0,0,0,0,18,0,0,0,44,0,22,30,21,56,109
"otu55",85,48,0,0,0,0,3,0,26,0,0,0,88,15,0,6,19,11,30
"otu56",62,59,0,0,0,0,0,0,0,0,0,0,77,12,37,52,20,0,0
"otu57",0,0,29,23,25,16,18,5,58,94,34,14,0,0,0,0,0,0,0
"otu58",0,37,10,0,6,0,10,14,0,11,19,14,82,10,21,15,0,31,28
"otu59",47,38,0,0,0,0,0,18,23,0,0,0,38,0,0,64,0,25,44
"otu60",20,58,0,0,0,0,0,0,0,0,0,0,105,0,25,30,0,35,21
"otu61",24,0,17,29,11,21,7,3,29,80,28,19,4,16,0,0,0,0,0
"otu62",19,19,14,0,4,0,5,15,13,19,59,23,48,5,6,9,0,12,6
"otu63",41,41,11,0,0,0,0,0,13,0,19,0,103,18,0,0,0,0,0
"otu64",5,20,14,0,17,0,0,13,46,7,26,13,12,9,12,12,10,16,13
"otu65",0,0,45,0,23,0,0,12,18,18,82,47,0,0,0,0,0,0,0
"otu66",0,0,0,0,11,11,0,18,48,13,0,36,0,0,0,0,0,43,64
"otu67",128,0,7,5,0,7,14,0,23,31,13,6,0,0,0,0,0,0,0
"otu68",0,12,16,0,14,0,0,12,0,14,67,18,32,0,0,20,8,9,12
"otu69",0,12,0,0,0,0,6,12,0,0,8,7,20,23,15,30,15,37,48
"otu70",0,15,12,20,17,0,18,0,45,24,17,0,28,0,0,15,0,7,11
"otu71",0,0,30,0,17,0,0,9,25,21,75,52,0,0,0,0,0,0,0
"otu72",26,3,17,0,0,0,6,6,12,16,14,0,38,19,11,9,19,8,18
"otu73",92,12,21,0,0,0,0,0,0,0,0,0,37,0,0,16,0,18,15
"otu74",10,12,0,0,0,0,0,0,66,18,24,0,16,0,9,38,0,6,12
"otu75",0,15,10,0,0,0,9,19,18,5,13,12,37,0,13,17,5,13,25
"otu76",0,0,21,0,10,12,18,25,16,21,36,25,10,0,0,11,4,0,0
"otu77",14,0,0,0,0,0,0,0,11,23,19,0,29,0,24,18,10,17,39
"otu78",24,10,0,0,0,0,0,16,10,0,0,0,46,0,12,34,0,21,24
"otu79",48,52,0,0,0,0,0,0,0,0,0,0,62,14,18,0,0,0,0
"otu80",17,0,0,0,14,0,13,0,24,0,0,0,43,0,13,11,0,17,28
"otu81",0,31,0,0,3,0,3,3,18,19,7,0,6,15,18,16,18,13,10
"otu82",0,0,0,0,0,0,0,34,20,16,14,0,0,0,0,0,6,46,41
"otu83",0,18,0,15,0,14,0,26,33,13,17,0,37,0,0,0,0,0,0
"otu84",0,0,13,5,17,0,13,13,0,22,31,27,9,0,10,0,0,0,6
"otu85",0,0,0,0,0,0,0,0,0,39,0,0,38,0,55,34,0,0,0
"otu86",0,0,12,13,0,0,0,14,14,19,60,23,0,0,0,0,0,0,0
"otu87",0,43,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,35,0
"otu88",0,0,12,0,6,10,14,13,0,23,42,12,0,0,6,11,0,0,0
"otu89",0,4,8,0,0,0,5,14,11,9,23,11,19,6,6,7,0,9,8
"otu90",0,0,20,0,9,7,0,16,30,17,0,9,23,0,0,0,0,0,0
"otu91",0,0,7,0,0,0,4,0,0,0,0,14,0,0,44,30,0,0,32
"otu92",0,0,0,0,0,8,0,0,26,0,29,16,0,0,16,14,0,18,0
"otu93",25,0,0,0,0,0,0,8,0,0,5,0,16,0,0,24,0,17,28
"otu94",0,0,0,0,0,0,0,0,68,0,0,0,54,0,0,0,0,0,0
"otu95",13,0,0,0,0,0,9,0,21,14,0,0,36,15,0,0,0,0,12
"otu96",0,0,0,12,0,16,27,13,12,16,0,12,0,0,0,0,0,11,0
"otu97",4,7,0,0,0,0,0,0,0,0,0,0,32,2,0,19,8,26,19
"otu98",0,0,14,5,6,6,10,15,0,15,24,10,0,0,6,0,0,0,0
"otu99",9,17,0,0,0,0,0,0,0,0,0,0,46,0,12,11,0,12,0
"otu100",0,8,0,0,0,0,0,0,0,0,0,0,26,5,11,29,8,11,8
"otu101",24,15,0,0,0,0,0,0,10,0,26,10,0,0,0,0,0,16,0
"otu102",0,0,0,0,0,0,0,12,16,8,41,23,0,0,0,0,0,0,0
"otu103",19,24,0,0,0,0,0,0,0,0,0,0,32,0,0,0,11,11,0
"otu104",7,24,11,0,0,0,0,0,0,0,19,8,21,0,0,0,0,7,0
"otu105",0,0,0,0,0,0,0,0,0,0,8,0,37,21,16,11,0,0,0
"otu106",11,6,0,0,0,0,0,0,13,0,11,9,12,0,5,8,0,10,7
"otu107",35,16,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
"otu108",0,0,10,0,0,0,0,11,8,9,32,20,0,0,0,0,0,0,0
"otu109",0,0,0,0,0,0,0,17,0,0,0,0,21,0,0,20,0,0,32
"otu110",10,0,4,7,6,0,6,16,13,13,9,5,0,0,0,0,0,0,0
"otu111",10,7,0,0,0,0,0,0,0,0,0,0,35,12,0,0,0,9,14
"otu112",0,37,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
"otu113",0,0,0,0,0,0,0,13,13,11,12,7,0,0,0,14,0,0,0
"otu114",20,7,0,0,0,0,0,11,0,0,0,0,11,0,11,0,0,0,9
"otu115",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,17,14,14
"otu116",17,16,0,0,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0
"otu117",0,0,0,0,0,0,0,0,0,24,43,0,0,0,0,0,0,0,0
"otu118",0,26,0,0,0,0,0,22,0,0,0,0,17,0,0,0,0,0,0
"otu119",0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
"otu120",7,0,9,0,0,0,0,0,0,0,0,0,39,0,9,0,0,0,0
"otu121",0,0,0,3,12,0,15,0,16,13,4,0,0,0,0,0,0,0,0
"otu122",0,9,0,0,0,0,0,0,0,0,0,13,9,0,0,13,0,11,7
"otu123",0,4,0,0,0,0,0,0,0,12,16,0,10,6,4,0,4,4,0
"otu124",0,0,7,0,0,0,0,0,0,11,17,0,0,0,0,0,0,10,15
"otu125",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu126",0,7,0,0,0,0,0,0,0,0,10,0,7,0,8,0,0,16,9
"otu127",9,8,0,0,0,0,2,0,0,5,0,0,14,0,2,5,0,5,6
"otu128",0,10,0,0,0,0,4,0,5,5,8,0,10,0,4,5,0,0,5
"otu129",0,0,0,0,0,0,0,0,10,0,26,15,0,0,0,0,0,0,0
"otu130",0,3,0,0,0,0,0,0,0,0,0,0,8,0,9,9,0,0,19
"otu131",21,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7
"otu132",0,0,0,0,6,0,0,0,0,17,24,0,0,0,0,0,0,0,0
"otu133",0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,0,0,0
"otu134",7,0,0,6,0,0,5,0,5,0,7,6,5,0,0,0,0,3,0
"otu135",0,0,0,0,0,0,0,0,0,0,26,0,18,0,0,0,0,0,0
"otu136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"otu137",9,0,0,0,0,0,7,5,0,0,12,9,0,0,0,0,0,0,0
"otu138",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
"otu139",0,0,0,0,0,0,0,0,0,0,26,0,0,14,0,0,0,0,0
"otu140",10,6,0,0,0,0,0,15,0,0,0,0,8,0,0,0,0,0,0
"otu141",0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
"otu142",0,0,0,0,0,0,0,10,15,0,12,0,0,0,0,0,0,0,0
"otu143",21,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0
"otu144",0,0,0,0,0,0,0,0,13,0,7,0,0,13,3,0,0,0,0
"otu145",0,0,0,0,0,0,0,0,0,0,15,0,20,0,0,0,0,0,0
"otu146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22
"otu147",0,0,0,0,0,0,4,0,6,15,9,0,0,0,0,0,0,0,0
"otu148",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,10
"otu149",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,10
"otu150",9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"otu151",0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu152",0,13,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"otu153",0,0,0,0,0,0,0,0,9,5,0,0,7,0,0,0,0,0,8
"otu154",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,9,0
"otu155",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,9
"otu156",0,0,0,0,0,0,0,0,12,7,6,0,0,0,0,0,0,0,0
"otu157",5,0,3,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0
"otu158",4,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0
"otu159",0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
"otu160",10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"otu161",6,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0
"otu162",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"otu163",0,2,0,0,0,0,0,0,5,0,0,0,6,0,4,0,2,3,0
"otu164",0,0,0,0,0,0,0,6,0,6,9,0,0,0,0,0,0,0,0
"otu165",0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"otu166",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16
"otu167",3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9,0,0,0
"otu168",0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,5
"otu169",0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0
"otu170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"otu171",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"otu172",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"otu173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"otu174",10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"otu175",0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0
"otu176",0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0
"otu177",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu178",0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5
"otu179",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"otu180",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0
"otu181",6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"otu182",0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"otu183",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"otu184",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu185",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu186",0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,4
"otu187",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
"otu188",0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"otu189",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu190",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"otu191",0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0
"otu192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"otu193",0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"otu194",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"otu195",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"otu196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"otu197",0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"otu198",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"otu199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"otu200",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"otu201",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"otu202",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"otu203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"otu204",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu205",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu206",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"otu207",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"otu208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"otu209",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"otu210",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"otu211",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
